time,avg_user,base_id,community_id,upward_throughput,downward_throughput,avg_activate_users,avg_user_label,upward_throughput_label,downward_throughput_label,avg_activate_users_label
2021-08-28 00:00,22.6341,1200071,26019014,1335290712,30825953056,2.7893,0.0,0.0,0.0,0.0
2021-08-28 00:00,19.1064,1200071,26019015,2829868592,14185653168,3.9198,0.0,0.0,0.0,0.0
2021-08-28 00:00,15.4729,1200071,26019016,1194709896,7767242120,3.1944,0.0,0.0,0.0,0.0
2021-08-28 00:00,0.0509,1200071,26019023,205800,137312,0.0004,0.0,0.0,0.0,0.0
2021-08-28 00:00,0.6355,1200071,26019024,12935840,26593440,0.0263,0.0,0.0,0.0,0.0
2021-08-28 00:00,5.4037,1200071,26019010,467068384,7094107280,0.6308,0.0,0.0,0.0,0.0
2021-08-28 00:00,19.1323,1200071,26019011,1329144192,20610804464,1.9388,0.0,0.0,0.0,0.0
2021-08-28 00:00,7.7255,1200071,26019012,212830600,5252331848,0.577,0.0,0.0,0.0,0.0
2021-08-28 00:00,27.3129,1200071,26019013,2914496048,29538226752,2.9925,0.0,0.0,0.0,0.0
2021-08-28 00:00,1.0953,1200071,26019057,147652464,3952699456,0.2795,0.0,0.0,0.0,0.0
2021-08-28 00:00,2.7288,1200071,26019058,135874208,2338501360,0.4472,0.0,0.0,0.0,0.0
2021-08-28 00:00,12.5279,1200071,26019009,776610032,14428051296,1.0847,0.0,0.0,0.0,0.0
2021-08-28 00:00,11.3,1200072,26019007,773530288,13165839088,1.688,0.0,0.0,0.0,0.0
2021-08-28 00:00,9.9728,1200072,26019008,788704112,8028235248,2.1437,0.0,0.0,0.0,0.0
2021-08-28 00:00,5.2717,1200072,26019030,88818832,501847272,0.3431,0.0,0.0,0.0,0.0
2021-08-28 00:00,23.8289,1200072,26019031,1510233720,23914686368,2.4788,0.0,0.0,0.0,0.0
2021-08-28 00:00,6.3844,1200072,26019032,406553832,7287809008,0.6938,0.0,0.0,0.0,0.0
2021-08-28 00:00,8.5739,1200072,26019004,1256537240,2996517696,0.813,0.0,0.0,0.0,0.0
2021-08-28 00:00,15.51,1200072,26019005,926950488,16387449176,2.0295,0.0,0.0,0.0,0.0
2021-08-28 00:00,3.6664,1200072,26019006,217427552,2898920984,0.3348,0.0,0.0,0.0,0.0
